id;title;date;author;publisher;relation;description;collections;faculty;institute;division;id_numerical;faculty_identifier;institute_identifier;division_identifier;sdg1;sdg2;sdg3;sdg4;sdg5;sdg6;sdg7;sdg8;sdg9;sdg10;sdg11;sdg12;sdg13;sdg14;sdg15;sdg16;sdg17;language;location entities;Countries
oai:www.zora.uzh.ch:1;HEE-GER: a systematic review of German economic evaluations of health care published 1990-2004;2007;Schwappach, D L B, Boluarte, T A;BioMed Central;https://www.zora.uzh.ch/id/eprint/1/;"BACKGROUND: Studies published in non-English languages are systematically missing in systematic reviews of growth and quality of economic evaluations of health care. The aims of this study were: to characterize German evaluations, published in English or German-language, in terms of various key parameters; to investigate methods to derive quality-of-life weights in cost-utility studies; and to examine changes in study characteristics over the years. METHODS: We conducted a country-specific systematic review of the German and English-language literature of German economic evaluations (assessment of or application to the German health care system) published 1990-2004. Generic and specialized health economic databases were searched. Two independent reviewers verified fulfillment of inclusion criteria and extracted study characteristics. RESULTS: The fulltexts of 730 articles were reviewed of which 283 fulfilled all entry criteria. 32% of included studies were published in German-language. 51% of studies evaluated pharmaceuticals and 63% were cost-effectiveness analyses. Economic appraisals concentrate on few disease categories and important health areas are strongly underrepresented. Declaration of sponsorship was associated with article language (49% English articles vs. 29% German articles, p < 0.001). The methodology used to obtain quality-of-life weights in published cost-utility studies was very diverse, poorly reported and most studies did not use German patients' or community health state evaluations. CONCLUSION: Many of the German-language evaluations included in our study are likely to be missing in international reviews and may be systematically different from English-language reviews from Germany. Lack of transparency and adherence to recommended reporting practices constitute a serious problem in German economic evaluations.";Faculty of Medicine: Swiss Research Institute for Public Health and Addiction;Faculty of Medicine;Swiss Research Institute for Public Health and Addiction;;1;7375626A656374733D3130313730;3130303735;;0,01282832;0,007723357;0,774657488;0,643416405;0,004785812;0,002517599;0,002244581;0,770318925;0,682399631;0,99359411;0,061038926;0,688274026;0,004396426;0,002261037;0,006230518;0,517584562;0,965642869;en;Germany;Germany
oai:www.zora.uzh.ch:2;The economics of primary prevention of cardiovascular disease - a systematic review of economic evaluations;2007;Schwappach, D L B, Boluarte, T A, Suhrcke, M;BioMed Central;https://www.zora.uzh.ch/id/eprint/2/;"BACKGROUND: In the quest for public and private resources, prevention continues to face a difficult challenge in obtaining tangible public and political support. This may be partly because the economic evidence in favour of prevention is often said to be largely missing. The overall aim of this paper is to examine whether economic evidence in favour of prevention does exist, and if so, what its main characteristics, weaknesses and strengths are. We concentrate on the evidence regarding primary prevention that targets cardiovascular disease event or risk reduction. METHODS: We conducted a systematic literature review of journal articles published during the period 1995-2005, based on a comprehensive key-word based search in generic and specialized electronic databases, accompanied by manual searches of expert databases. The search strategy consisted of combinations of freetext and keywords related to economic evaluation, cardiovascular diseases, and primary preventive interventions of risk assessment or modification. RESULTS: A total of 195 studies fulfilled all of the relevant inclusion criteria. Overall, a significant amount of relevant economic evidence in favour of prevention does exist, despite important remaining gaps. The majority of studies were cost-effectiveness-analyses, expressing benefits as ""life years gained"", were conducted in a US or UK setting, assessed clinical prevention, mainly drugs targeted at lowering lipid levels, and referred to subjects aged 35-64 years old with at least one risk factor. CONCLUSIONS: First, this review has demonstrated the obvious lack of economic evaluations of broader health promotion interventions, when compared to clinical prevention. Second, the clear role for government to engage more actively in the economic evaluation of prevention has become very obvious, namely, to fill the gap left by private industry in terms of the evaluation of broader public health interventions and regarding clinical prevention, in light of the documented relationship between study funding and reporting of favourable results. Third, the value of greater adherence to established guidelines on economic evaluation cannot be emphasised enough. Finally, there appear to be certain methodological features in the practice of health economic evaluations that might bias the choice between prevention and cure in favour of the latter.";Faculty of Medicine: Swiss Research Institute for Public Health and Addiction;Faculty of Medicine;Swiss Research Institute for Public Health and Addiction;;2;7375626A656374733D3130313730;3130303735;;0,007543785;0,005999904;0,975836098;0,020992294;0,00298428;0,002393521;0,002323867;0,028416479;0,9294734;0,994378388;0,050061226;0,431033701;0,004498663;0,002349649;0,005145932;0,21438463;0,979304969;en;US UK;United Kingdom, United States
oai:www.zora.uzh.ch:6;First isolation and further characterization of enteropathogenic Escherichia coli (EPEC) O157:H45 strains from cattle;2004;Stephan, Roger, Borel, Nicole, Zweifel, Claudio, Blanco, M A, Blanco, J E;BioMed Central;https://www.zora.uzh.ch/id/eprint/6/;BACKGROUND: Enteropathogenic Escherichia coli (EPEC), mainly causing infantile diarrhoea, represents one of at least six different categories of diarrheagenic E. coli with corresponding distinct pathogenic schemes. The mechanism of EPEC pathogenesis is based on the ability to introduce the attaching-and-effacing (A/E) lesions and intimate adherence of bacteria to the intestinal epithelium. The role and the epidemiology of non-traditional enteropathogenic E. coli serogroup strains are not well established. E. coli O157:H45 EPEC strains, however, are described in association with enterocolitis and sporadic diarrhea in human. Moreover, a large outbreak associated with E. coli O157:H45 EPEC was reported in Japan in 1998. During a previous study on the prevalence of E. coli O157 in healthy cattle in Switzerland, E. coli O157:H45 strains originating from 6 fattening cattle and 5 cows were isolated. In this study, phenotypic and genotypic characteristics of these strains are described. Various virulence factors (stx, eae, ehxA, astA, EAF plasmid, bfp) of different categories of pathogenic E. coli were screened by different PCR systems. Moreover, the capability of the strains to adhere to cells was tested on tissue culture cells. RESULTS: All 11 sorbitol-positive E. coli O157:H45 strains tested negative for the Shiga toxin genes (stx), but were positive for eae and were therefore considered as EPEC. All strains harbored eae subtype alpha1. The gene encoding the heat-stable enterotoxin 1 (EAST1) was found in 10 of the 11 strains. None of the strains, however, carried ehx A genes. The capability of the strains to adhere to cells was shown by 10 strains harbouring bfp gene by localized adherence pattern on HEp-2 and Caco-2 cells. CONCLUSION: This study reports the first isolation of typical O157:H45 EPEC strains from cattle. Furthermore, our findings emphasize the fact that E. coli with the O157 antigen are not always STEC but may belong to other pathotypes. Cattle seem also to be a reservoir of O157:H45 EPEC strains, which are described in association with human diseases. Therefore, these strains appear to play a role as food borne pathogens and have to be considered and evaluated in view of food safety aspects.;Vetsuisse Faculty: Institute of Veterinary Pathology;Vetsuisse Faculty;Institute of Veterinary Pathology;;6;7375626A656374733D3130323531;3130313834;;0,003985698;0,786222279;0,998468459;0,00161313;0,028587313;0,042333335;0,648415148;0,006955781;0,066958271;0,03363071;0,022359662;0,780150235;0,005080748;0,986236155;0,480941236;0,002944766;0,009716646;en;Japan Switzerland;Switzerland, Japan
oai:www.zora.uzh.ch:7;Risk factors for antibiotic resistance in Campylobacter spp. isolated from raw poultry meat in Switzerland;2003;Ledergerber, U, Regula, G, Stephan, Roger, Danuser, J, Bissig, B, Stärk, K D C;BioMed Central;https://www.zora.uzh.ch/id/eprint/7/;"BACKGROUND: The world-wide increase of foodborne infections with antibiotic resistant pathogens is of growing concern and is designated by the World Health Organization as an emerging public health problem. Thermophilic Campylobacter have been recognised as a major cause of foodborne bacterial gastrointestinal human infections in Switzerland and in many other countries throughout the world. Poultry meat is the most common source for foodborne cases caused by Campylobacter. Because all classes of antibiotics recommended for treatment of human campylobacteriosis are also used in veterinary medicine, in view of food safety, the resistance status of Campylobacter isolated from poultry meat is of special interest. METHODS: Raw poultry meat samples were collected throughout Switzerland and Liechtenstein at retail level and examined for Campylobacter spp. One strain from each Campylobacter-positive sample was selected for susceptibility testing with the disc diffusion and the E-test method. Risk factors associated with resistance to the tested antibiotics were analysed by multiple logistic regression. RESULTS: In total, 91 Campylobacter spp. strains were isolated from 415 raw poultry meat samples. Fifty-one strains (59%) were sensitive to all tested antibiotics. Nineteen strains (22%) were resistant to a single, nine strains to two antibiotics, and eight strains showed at least three antibiotic resistances. Resistance was observed most frequently to ciprofloxacin (28.7%), tetracycline (12.6%), sulphonamide (11.8%), and ampicillin (10.3%). One multiple resistant strain exhibited resistance to five antibiotics including ciprofloxacin, tetracycline, and erythromycin. These are the most important antibiotics for treatment of human campylobacteriosis. A significant risk factor associated with multiple resistance in Campylobacter was foreign meat production compared to Swiss meat production (odds ratio = 5.7). CONCLUSION: Compared to the situation in other countries, the data of this study show a favourable resistance situation for Campylobacter strains isolated from raw poultry meat produced in Switzerland. Nevertheless, the prevalence of 19% ciprofloxacin resistant strains is of concern and has to be monitored. ""Foreign production vs. Swiss production"" was a significant risk factor for multiple resistance in the logistic regression model. Therefore, an adequate resistance-monitoring programme should include meat produced in Switzerland as well as imported meat samples.";Vetsuisse Faculty: Institute of Food Safety and Hygiene;Vetsuisse Faculty;Institute of Food Safety and Hygiene;;7;7375626A656374733D3130323531;3130303832;;0,004086536;0,945315957;0,743433595;0,001551944;0,002240226;0,069761269;0,002130777;0,008526063;0,664775074;0,021667393;0,035449881;0,814439535;0,005177603;0,019769002;0,013058224;0,002922045;0,692924738;en;Switzerland Switzerland Liechtenstein Switzerland;Switzerland, Lichtenstein
oai:www.zora.uzh.ch:8;Detection of Mycobacterium avium subspecies paratuberculosis specific IS900 insertion sequences in bulk-tank milk samples obtained from different regions throughout Switzerland;2002;Corti, S, Stephan, Roger;BioMed Central;https://www.zora.uzh.ch/id/eprint/8/;BACKGROUND: Since Mycobacterium avium subspecies paratuberculosis (MAP) was isolated from intestinal tissue of a human patient suffering Crohn's disease, a controversial discussion exists whether MAP have a role in the etiology of Crohn's disease or not. Raw milk may be a potential vehicle for the transmission of MAP to human population. In a previous paper, we have demonstrated that MAP are found in raw milk samples obtained from a defined region in Switzerland. The aim of this work is to collect data about the prevalence of MAP specific IS900 insertion sequence in bulk-tank milk samples in different regions of Switzerland. Furthermore, we examined eventual correlation between the presence of MAP and the somatic cell counts, the total colony counts and the presence of Enterobacteriaceae. RESULTS: 273 (19.7%) of the 1384 examined bulk-tank milk samples tested IS900 PCR-positive. The prevalence, however, in the different regions of Switzerland shows significant differences and ranged from 1.7% to 49.2%. Furthermore, there were no statistically significant (p >> 0.05) differences between the somatic cell counts and the total colony counts of PCR-positive and PCR-negative milk samples. Enterobacteriaceae occur as often in IS900 PCR-positive as in PCR-negative milk samples. CONCLUSION: This is the first study, which investigates the prevalence of MAP in bulk-tank milk samples all over Switzerland and infers the herd-level prevalence of MAP infection in dairy herds. The prevalence of 19.7% IS900 PCR-positive bulk-milk samples shows a wide distribution of subclinical MAP-infections in dairy stock in Switzerland. MAP can therefore often be transmitted to humans by raw milk consumption.;Vetsuisse Faculty: Institute of Food Safety and Hygiene;Vetsuisse Faculty;Institute of Food Safety and Hygiene;;8;7375626A656374733D3130323531;3130303832;;0,00393602;0,897603691;0,705402076;0,001647399;0,003032787;0,033373039;0,001905754;0,013454963;0,013805054;0,071600854;0,056347426;0,825296879;0,00447165;0,077846162;0,235088065;0,002932502;0,018555814;en;Switzerland Switzerland Switzerland Switzerland Switzerland;Switzerland
oai:www.zora.uzh.ch:40;Awareness of vaccination status and its predictors among working people in Switzerland;2003;Lee, C Y, Naguel, C, Gyurech, D, Duvoisin, N, Schilling, J;BioMed Central;https://www.zora.uzh.ch/id/eprint/40/;BACKGROUND: Adult vaccination status may be difficult to obtain, often requiring providers to rely on individual patient recall. To determine vaccination status awareness and the sociodemographic predictors of awareness for tetanus, hepatitis A and B, tick born encephalitis (TBE) and influenza vaccination. METHODS: Multivariate analyses were used to evaluate a questionnaire survey of 10,321 employees (4070 women and 6251 men aged 15-72 years) of two companies in Switzerland. RESULTS: Among 10,321 respondents, 75.5% reported knowing their tetanus vaccination status, 64.1% hepatitis A, 61.1% hepatitis B, 64.3% TBE and 71.9% influenza. Between 1 in 4 and 1 in 3 employees were not aware of their vaccination status. Differences in awareness for the five vaccinations considered correlated with gender and language. These differences persisted in multivariate analyses. CONCLUSION: Women employees, German-speaking employees and employees who paid more attention to their diet were more often aware of their vaccination status. A more reliable and readily accessible data source for vaccination status is needed in order to capitalize on opportunities to update vaccinations among Swiss employees.;Faculty of Medicine: Epidemiology, Biostatistics and Prevention Institute (EBPI);Faculty of Medicine;Epidemiology, Biostatistics and Prevention Institute (EBPI);;40;7375626A656374733D3130313730;3130303630;;0,319301426;0,784181595;0,998292267;0,692741394;0,91940248;0,005460377;0,00207521;0,90694654;0,623413086;0,07862635;0,017793478;0,004318471;0,00465983;0,00276487;0,006426869;0,158972517;0,28164801;en;Switzerland;Switzerland
oai:www.zora.uzh.ch:41;Cytokine gene polymorphisms and atopic disease in two European cohorts. (ECRHS-Basel and SAPALDIA);2006;Imboden, M, Nieters, A, Bircher, A J, Brutsche, M, Becker, N, Wjst, M, Ackermann-Liebrich, U, Berger, W, Probst-Hensch, N M, Sapaldia Team;BioMed Central;https://www.zora.uzh.ch/id/eprint/41/;BACKGROUND: Atopy and allergic phenotypes are biologically characterized by an imbalanced T helper cell response skewed towards a type 2 (TH2) immune response associated with elevated serum immunoglobulin E (IgE) levels. Polymorphisms in cytokine genes might modulate regulation of the TH1/TH2 balance. We thus aimed at reproducing our previous findings from a European study population on the association of various cytokine polymorphisms with self-reported hay fever as well as increased total and specific IgE levels in two comparable study populations. METHODS: Two prospective Caucasian cohorts were used. In the Basel center of the European Community Respiratory Health Survey (ECRHS, n = 418) ten distinct cytokine polymorphisms of putative functional relevance were genotyped. In the Swiss cohort Study on Air Pollution And Lung Disease In Adults (SAPALDIA, n = 6003) two cytokine polymorphisms were genotyped. The associations of these polymorphisms with atopy were estimated by covariance and logistic regression analysis. RESULTS: We confirmed IL4, IL10, IL6 and IL18 as candidate genes for atopic health outcomes. In the large, well-characterized SAPALDIA cohort the IL6(-174G>C) and IL18(-137G>C) polymorphisms were associated with circulating total IgE concentrations in subjects with hay fever. The IL18(-137G>C) polymorphism was also associated with the prevalence of hay fever. CONCLUSION: Comprehensive characterization of genetic variation in extended cytokine candidate gene regions is now needed. Large study networks must follow to investigate the association of risk patterns defined by genetic predisposing and environmental risk factors with specific atopic phenotypes.;Faculty of Medicine: University Hospital Zurich: Institute of Pathology and Molecular Pathology;Faculty of Medicine;University Hospital Zurich;;41;7375626A656374733D3130313730;3130313938;;0,003949095;0,023322083;0,995515883;0,001645021;0,058139682;0,800760388;0,001874594;0,006708583;0,015748488;0,040187947;0,349340409;0,031187644;0,005096836;0,234923527;0,213429034;0,003052389;0,051215772;en;Basel;Basel
oai:www.zora.uzh.ch:64;Effects of hypobaric hypoxia on vascular endothelial growth factor and the acute phase response in subjects who are susceptible to high-altitude pulmonary oedema.;2000;Pavlicek, V, Marti, H H, Grad, S, Gibbs, J S, Kol, C, Wenger, R H, Gassmann, M, Kohl, J, Maly, F E, Oelz, O, Koller, E A, Schirlo, C;Springer;https://www.zora.uzh.ch/id/eprint/64/;"In order to investigate whether vascular endothelial growth factor (VEGF) and inflammatory pathways are activated during acute hypobaric hypoxia in subjects who are susceptible to high-altitude pulmonary oedema (HAPE-S), seven HAPE-S and five control subjects were exposed to simulated altitude corresponding to 4000 m in a hypobaric chamber for 1 day. Peripheral venous blood was taken at 450 m (Zürich level) and at 4000 m, and levels of erythropoietin (EPO), VEGF, interleukin-6 (IL-6) and the acute-phase proteins complement C3 (C3), alpha1-antitrypsin (alpha1AT), transferrin (Tf) and C-reactive protein (CRP) were measured. Peripheral arterial oxygen saturation (SaO2) was recorded. Chest radiography was performed before and immediately after the experiment. EPO increased during altitude exposure, correlating with SaO2, in both groups (r = -0.86, P < 0.001). Venous serum VEGF did not show any elevation despite a marked decrease in SaO2 in the HAPE-S subjects [mean (SD) HAPE-S: 69.6 (9.1)%; controls: 78.7 (5.2)%]. C3 and alpha1AT levels increased in HAPE-S during hypobaric hypoxia [from 0.94 (0.11) g/l to 1.07 (0.13) g/l, and from 1.16 (0.08) g/l to 1.49 (0.27) g/l, respectively; P < 0.05], but remained within the clinical reference ranges. No significant elevations of IL-6, Tf or CRP were observed in either group. The post-exposure chest radiography revealed no signs of oedema. We conclude that VEGF is not up-regulated in HAPE-S and thus does not seem to increase critically pulmonary vascular permeability during the 1st day at high altitude. Furthermore, our data provide evidence against a clinically relevant inflammation in the initial phase of exposure to hypoxia in HAPE-S, although C3 and alpha1AT are mildly induced.";Faculty of Medicine: University Hospital Zurich: Institute of Clinical Chemistry;Faculty of Medicine;University Hospital Zurich;;64;7375626A656374733D3130313730;3130313938;;0,003990307;0,486515611;0,97478503;0,001592884;0,001982925;0,326098293;0,002479707;0,005836856;0,008867452;0,015510689;0,046777818;0,154621542;0,0052885;0,119493991;0,031805843;0,002904007;0,009033515;en;Zürich;Switzerland
oai:www.zora.uzh.ch:83;Self-administration and interviewer-administration of the German Chronic Respiratory Questionnaire: instrument development and assessment of validity and reliability in two randomised studies;2004;Puhan, M A, Behnke, M, Frey, M, Grueter, T, Brandli, O, Lichtenschopf, A, Guyatt, G H, Schunemann, H J;BioMed Central;https://www.zora.uzh.ch/id/eprint/83/;BACKGROUND: Assessment of health-related quality of life (HRQL) is important in patients with chronic obstructive pulmonary disease (COPD). Despite the high prevalence of COPD in Germany, Switzerland and Austria there is no validated disease-specific instrument available. The objective of this study was to translate the Chronic Respiratory Questionnaire (CRQ), one of the most widely used respiratory HRQL questionnaires, into German, develop an interviewer- and self-administered version including both standardised and individualised dyspnoea questions, and validate these versions in two randomised studies. METHODS: We recruited three groups of patients with COPD in Switzerland, Germany and Austria. The 44 patients of the first group completed the CRQ during pilot testing to adapt the CRQ to German-speaking patients. We then recruited 80 patients participating in pulmonary rehabilitation programs to assess internal consistency reliability and cross-sectional validity of the CRQ. The third group consisted of 38 patients with stable COPD without an intervention to assess test-retest reliability. To compare the interviewer- and self-administered versions, we randomised patients in groups 2 and 3 to the interviewer- or self-administered CRQ. Patients completed both the standardised and individualised dyspnoea questions. RESULTS: For both administration formats and all domains, we found good internal consistency reliability (Crohnbach's alpha between 0.73 and 0.89). Cross-sectional validity tended to be better for the standardised compared to the individualised dyspnoea questions and cross-sectional validity was slightly better for the self-administered format. Test-retest reliability was good for both the interviewer-administered CRQ (intraclass correlation coefficients for different domains between 0.81 and 0.95) and the self-administered format (intraclass correlation coefficients between 0.78 and 0.86). Lower within-person variability was responsible for the higher test-retest reliability of the interviewer-administered format while between person variability was similar for both formats. CONCLUSIONS: Investigators in German-speaking countries can choose between valid and reliable self-and interviewer-administered CRQ formats.;Faculty of Medicine: University Hospital Zurich: Clinic and Policlinic for Internal Medicine;Faculty of Medicine;University Hospital Zurich;;83;7375626A656374733D3130313730;3130313938;;0,003972108;0,008115268;0,998538375;0,606925428;0,118140489;0,00897328;0,002068736;0,026429972;0,176108673;0,043855455;0,035440996;0,074910671;0,005110221;0,002677403;0,004524629;0,44070217;0,966678619;en;Germany Switzerland Austria Switzerland Germany Austria;Germany, Switzerland, Austria
oai:www.zora.uzh.ch:103;Potential of wind power projects under the clean development mechanism in India;2007;Purohit, Pallav, Michaelowa, Axel;BioMed Central;https://www.zora.uzh.ch/id/eprint/103/;BACKGROUND: The cumulative installed capacity of wind power projects in India is far below its gross potential (<15%) despite tax benefits, long term financing schemes, and receiving a very high level of policy support for more than 10 years. One of the major barriers is the high cost of investment in these systems. The Clean Development Mechanism (CDM) of the Kyoto Protocol provides industrialized countries with an incentive to invest in emission reduction projects in developing countries to achieve a low-cost reduction in carbon dioxide emissions that also promotes sustainable development in the host country. Wind power projects could be of interest under the CDM because, when developed properly, they directly displace greenhouse gas emissions while contributing to sustainable rural development. RESULTS: Our estimates indicate that there is a vast theoretical potential of carbon dioxide mitigation by the use of wind energy in India. The annual Certified Emission Reduction (CER) potential of wind power projects in India could theoretically reach 86 million. Under more realistic assumptions about the diffusion of wind power projects based on past experience with government run programmes, annual CER volumes could reach 41 to 67 million by 2012 and 78 to 83 million by 2020. CONCLUSIONS: The projections based on the past diffusion trend indicate that in India, even with highly favorable assumptions, the dissemination of wind power projects is not likely to reach its maximum estimated potential within the next 15 years. CDM could help to achieve the maximum utilization potential more rapidly as compared to the current diffusion trend if supportive policies are introduced.;Faculty of Arts: Institute of Political Science;Faculty of Arts;Institute of Political Science;;103;7375626A656374733D3130313731;3130313133;;0,004042249;0,093516827;0,011868852;0,001955617;0,002245923;0,004293144;0,972026169;0,069204807;0,956131458;0,004108567;0,19419995;0,536648393;0,875318408;0,004137301;0,217674598;0,003088294;0,988694608;en;India India India India;India
